"LocalTime","T","Po","P","Pa","U","DD"
"19.10.2020 09:00","19.9","761.2","762.5","0","69",""
"19.10.2020 06:00","18.6","761.2","762.5","0","83",""
"19.10.2020 03:00","20.2","761.2","762.5","1.2","87",""
"19.10.2020 00:00","19","760","761.3","-0.3","68",""
"18.10.2020 21:00","18.2","760.3","761.6","0.6","82",""
"18.10.2020 18:00","21","759.7","760.9","0","82",""
"18.10.2020 15:00","24","759.7","760.9","-0.7","59",""
"18.10.2020 12:00","24.8","760.4","761.7","0.1","50",""
"18.10.2020 09:00","20","760.3","761.6","0.6","43",""
"18.10.2020 06:00","16","759.7","761","0.6","52",""
"18.10.2020 03:00","16.4","759.1","760.5","0.1","53",""
"18.10.2020 00:00","16.8","759","760.3","-0.5","66",""
"17.10.2020 21:00","16.5","759.5","760.9","0.5","93",""
"17.10.2020 18:00","21.2","759","760.3","-0.5","82",""
"17.10.2020 15:00","24.4","759.5","760.8","-1.1","65",""
"17.10.2020 12:00","22.8","760.6","761.9","-0.6","73",""
"17.10.2020 09:00","19.2","761.2","762.5","0.3","55",""
"17.10.2020 06:00","14.1","760.9","762.3","0","88",""
"17.10.2020 03:00","14.6","760.9","762.3","-0.1","93",""
"17.10.2020 00:00","15.8","761","762.4","0.3","91",""
"16.10.2020 21:00","17.4","760.7","762.1","0.4","86",""
"16.10.2020 18:00","21.2","760.3","761.6","-0.5","85",""
"16.10.2020 15:00","23.1","760.8","762.1","-0.9","72",""
"16.10.2020 12:00","23.9","761.7","763","-0.7","63",""
"16.10.2020 09:00","20.5","762.4","763.7","0.3","69",""
"16.10.2020 06:00","16.2","762.1","763.5","-0.4","87",""
"16.10.2020 03:00","17.1","762.5","763.9","-0.7","93",""
"16.10.2020 00:00","18.2","763.2","764.5","0.1","96",""
"15.10.2020 21:00","21.2","763.1","764.4","-0.2","87",""
"15.10.2020 18:00","22","763.3","764.6","-0.3","84",""
"15.10.2020 15:00","23.5","763.6","764.8","-0.6","79",""
"15.10.2020 12:00","23.8","764.2","765.4","-0.1","75",""
"15.10.2020 09:00","20","764.3","765.7","1","60",""
"15.10.2020 06:00","16.3","763.3","764.7","0.6","72",""
"15.10.2020 03:00","16.6","762.7","764","1.5","72",""
"15.10.2020 00:00","17.7","761.2","762.6","0.8","72",""
"14.10.2020 21:00","17.8","760.4","761.8","1.2","77",""
"14.10.2020 18:00","22.4","759.2","760.5","-0.2","68",""
"14.10.2020 15:00","25.6","759.4","760.7","0","44",""
"14.10.2020 12:00","27.9","759.4","760.7","0.1","39",""
"14.10.2020 09:00","21.2","759.3","760.6","0.8","43",""
"14.10.2020 06:00","16.7","758.5","759.8","0.6","55",""
"14.10.2020 03:00","18.4","757.9","759.3","0.9","49",""
"14.10.2020 00:00","21.2","757","758.3","0","40",""
"13.10.2020 21:00","19.4","757","758.3","0.3","57",""
"13.10.2020 18:00","21.4","756.7","758","-0.4","79",""
"13.10.2020 15:00","25","757.1","758.4","-1.3","56",""
"13.10.2020 12:00","25.3","758.4","759.7","-0.9","49",""
"13.10.2020 09:00","20.8","759.3","760.6","0.2","48",""
"13.10.2020 06:00","14.5","759.1","760.5","-0.6","71",""
"13.10.2020 03:00","13.7","759.7","761","-0.5","88",""
"13.10.2020 00:00","16.1","760.2","761.5","-0.1","78",""
"12.10.2020 21:00","16.6","760.3","761.7","0.3","83",""
"12.10.2020 18:00","20.4","760","761.4","-1.1","76",""
"12.10.2020 15:00","23","761.1","762.4","-1","56",""
"12.10.2020 12:00","23.2","762.1","763.4","-0.7","53",""
"12.10.2020 09:00","18.8","762.8","764.2","0.2","59",""
"12.10.2020 06:00","14","762.6","763.9","-0.1","80",""
"12.10.2020 03:00","15.6","762.7","764","0.1","72",""
"12.10.2020 00:00","15.7","762.6","763.9","0.3","74",""
"11.10.2020 21:00","16.1","762.3","763.6","0.5","76",""
"11.10.2020 18:00","21","761.8","763.2","0","62",""
"11.10.2020 15:00","23.8","761.8","763.1","-0.4","55",""
"11.10.2020 12:00","23.4","762.2","763.5","0.4","70",""
"11.10.2020 09:00","22.5","761.8","763","1.1","67",""
"11.10.2020 06:00","16.6","760.7","762.1","0","65",""
"11.10.2020 03:00","16.7","760.7","762.1","-0.2","71",""
"11.10.2020 00:00","19.1","760.9","762.2","0","59",""
"10.10.2020 21:00","17.6","760.9","762.2","0.6","74",""
"10.10.2020 18:00","21.9","760.3","761.6","-0.3","69",""
"10.10.2020 15:00","25.4","760.6","761.8","-0.4","59",""
"10.10.2020 12:00","26","761","762.3","0","32",""
"10.10.2020 09:00","20","761","762.4","0.4","40",""
"10.10.2020 06:00","15.2","760.6","762","0.4","56",""
"10.10.2020 03:00","17","760.2","761.5","-0.7","53",""
"10.10.2020 00:00","16.6","760.9","762.3","-0.1","65",""
"09.10.2020 21:00","18.6","761","762.4","0.4","81",""
"09.10.2020 18:00","24.2","760.6","761.9","-0.5","71",""
"09.10.2020 15:00","28.6","761.1","762.4","-0.5","63",""
"09.10.2020 12:00","27.6","761.6","762.9","-0.3","55",""
"09.10.2020 09:00","20.4","761.9","763.3","0.6","48",""
"09.10.2020 06:00","14.3","761.3","762.7","0","61",""
"09.10.2020 03:00","16.6","761.3","762.7","-0.2","56",""
"09.10.2020 00:00","17.6","761.5","762.9","0","54",""
"08.10.2020 21:00","18","761.5","762.9","-0.2","75",""
"08.10.2020 18:00","21.8","761.7","763","-0.7","72",""
"08.10.2020 15:00","24.8","762.4","763.7","-0.6","57",""
"08.10.2020 12:00","24.2","763","764.2","-0.2","53",""
"08.10.2020 09:00","20.1","763.2","764.5","-0.2","52",""
"08.10.2020 06:00","14.4","763.4","764.8","0.1","80",""
"08.10.2020 03:00","16.1","763.3","764.6","0","74",""
"08.10.2020 00:00","16","763.3","764.7","0","77",""
"07.10.2020 21:00","17.6","763.3","764.7","0.4","72",""
"07.10.2020 18:00","21.4","762.9","764.2","0","75",""
"07.10.2020 15:00","23.7","762.9","764.2","-0.7","60",""
"07.10.2020 12:00","23.6","763.6","764.8","0.3","56",""
"07.10.2020 09:00","20.3","763.3","764.7","0.1","59",""
"07.10.2020 06:00","15.4","763.2","764.5","0.2","79",""
"07.10.2020 03:00","16.3","763","764.3","-0.3","80",""
"07.10.2020 00:00","16.9","763.3","764.7","-0.1","81",""
"06.10.2020 21:00","19.2","763.4","764.8","-0.5","73",""
"06.10.2020 18:00","22.6","763.9","765.4","-0.3","53",""
"06.10.2020 15:00","23.6","764.2","765.4","-0.6","51",""
"06.10.2020 12:00","23","764.8","766","-0.2","54",""
"06.10.2020 09:00","20.8","765","766.3","0.1","58",""
"06.10.2020 06:00","14.6","764.9","766.3","-0.2","84",""
"06.10.2020 03:00","16.2","765.1","766.4","0.3","89",""
"06.10.2020 00:00","18.7","764.8","766.2","-0.3","80",""
"05.10.2020 21:00","19","765.1","766.4","0.8","77",""
"05.10.2020 18:00","20.2","764.3","765.7","0.4","78",""
"05.10.2020 15:00","23.8","763.9","765.1","0","64",""
"05.10.2020 12:00","23.8","763.9","765.1","0","62",""
"05.10.2020 09:00","20.7","763.9","765.3","0.5","88",""
"05.10.2020 06:00","17","763.4","764.8","0.2","92",""
"05.10.2020 03:00","17.6","763.2","764.5","-0.2","92",""
"05.10.2020 00:00","18.2","763.4","764.8","0.3","91",""
"04.10.2020 21:00","19","763.1","764.5","0.4","92",""
"04.10.2020 18:00","21.9","762.7","763.9","0.1","94",""
"04.10.2020 15:00","24","762.6","763.9","-0.4","90",""
"04.10.2020 12:00","24.2","763","764.7","-0.4","87",""
"04.10.2020 09:00","20.6","763.4","764.8","0.2","86",""
"04.10.2020 06:00","16.2","763.2","764.5","0","87",""
"04.10.2020 03:00","16.8","763.2","764.5","0.2","86",""
"04.10.2020 00:00","17.4","763","764.4","-0.1","88",""
"03.10.2020 21:00","18.4","763.1","764.4","0.4","89",""
"03.10.2020 18:00","12.8","762.7","764","-0.8","",""
"03.10.2020 15:00","24","763.5","764.8","-0.1","73",""
"03.10.2020 12:00","23.6","763.6","764.8","-0.1","63",""
"03.10.2020 09:00","20.5","763.7","765.1","0.5","68",""
"03.10.2020 06:00","15.2","763.2","764.5","0.5","89",""
"03.10.2020 03:00","15.8","762.7","764","0.4","91",""
"03.10.2020 00:00","17.2","762.3","763.6","0.3","92",""
"02.10.2020 21:00","16.7","762","763.3","1.3","97",""
"02.10.2020 18:00","17.2","760.7","762.1","1.4","97",""
"02.10.2020 15:00","21.2","759.3","760.6","0.3","64",""
"02.10.2020 12:00","22.8","759","760.3","1.3","66",""
"02.10.2020 09:00","22","757.7","759","-0.7","69",""
"02.10.2020 06:00","18.6","758.4","759.7","0.2","84",""
"02.10.2020 03:00","18.8","758.2","759.6","0.8","84",""
"02.10.2020 00:00","19.2","757.4","758.8","1.1","84",""
"01.10.2020 21:00","19.7","756.3","757.6","0.8","88",""
"01.10.2020 18:00","23","755.5","756.7","0","71",""
"01.10.2020 15:00","24.8","755.5","756.7","1.8","64",""
"01.10.2020 12:00","25.8","753.7","755","-0.8","58",""
"01.10.2020 09:00","19.8","754.5","755.8","-0.1","78",""
"01.10.2020 06:00","19","754.6","756","-0.4","84",""
"01.10.2020 03:00","19.2","755","756.4","-1.4","87",""
"01.10.2020 00:00","21","756.4","757.8","1.2","73",""
"30.09.2020 21:00","20.8","755.2","756.5","0.6","75",""
"30.09.2020 18:00","24.7","754.6","755.8","0.6","59",""
"30.09.2020 15:00","25.8","754","755.3","0.3","55",""
"30.09.2020 12:00","26.6","753.7","755","0.3","47",""
"30.09.2020 09:00","24","753.4","754.7","-0.3","57",""
"30.09.2020 06:00","19.7","753.7","754.9","-0.6","69",""
"30.09.2020 03:00","19.2","754.3","755.7","-1","79",""
"30.09.2020 00:00","20.4","755.3","756.7","-1.1","75",""
"29.09.2020 21:00","21","756.4","757.8","-0.9","76",""
"29.09.2020 18:00","24.8","757.3","758.5","-1.7","66",""
"29.09.2020 15:00","27.3","759","760.3","-1.4","58",""
"29.09.2020 12:00","26.4","760.4","761.7","-0.6","59",""
"29.09.2020 09:00","24.7","761","762.3","-0.4","61",""
"29.09.2020 06:00","20.2","761.4","762.7","-0.4","79",""
"29.09.2020 03:00","21.2","761.8","763.1","-0.6","81",""
"29.09.2020 00:00","21.6","762.4","763.7","0.1","87",""
"28.09.2020 21:00","23.9","762.3","763.6","0.1","90",""
"28.09.2020 18:00","25","762.2","763.5","-0.5","83",""
"28.09.2020 15:00","26.8","762.7","764","-0.6","71",""
"28.09.2020 12:00","26.8","763.3","764.6","0","74",""
"28.09.2020 09:00","25.8","763.3","764.6","0.8","51",""
"28.09.2020 06:00","20.8","762.5","763.9","0.4","65",""
"28.09.2020 03:00","20.2","762.1","763.4","0.9","71",""
"28.09.2020 00:00","21","761.2","762.6","0.6","75",""
"27.09.2020 21:00","21.9","760.6","761.9","1.3","72",""
"27.09.2020 18:00","27","759.3","760.6","0.7","55",""
